"","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","stateProvince","habitat","cl10902","scientificName","basisOfRecord","kingdom","phylum","class","order","family","taxonRank","dataResourceName"
"657",-35.5322000344952,148.838,200,"Australian Capital Territory","","Non Forest","Austrelaps ramsayi","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","ACT Wildlife Atlas"
"658",-35.532100034495,149.064,200,"Australian Capital Territory","","Non Forest","Lampropholis delicata","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"659",-35.531752,149.064762,2,"Australian Capital Territory","","Non Forest","Chelodina (Chelodina) longicollis","HUMAN_OBSERVATION","Animalia","Chordata","Reptilia","Testudines","Chelidae","species","iNaturalist Australia"
"660",-35.531622,148.904494,200,"Australian Capital Territory","","Eucalypt Medium Woodland","AGAMIDAE","HUMAN_OBSERVATION","Animalia","Chordata","Reptilia","Squamata","Agamidae","family","iNaturalist Australia"
"661",-35.531300034494,148.837,200,"Australian Capital Territory","","Non Forest","Lampropholis delicata","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"662",-35.5312000344939,148.786,200,"Australian Capital Territory","","Eucalypt Low Woodland","Pseudemoia entrecasteauxii","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"663",-35.5312000344939,148.786,200,"Australian Capital Territory","","Eucalypt Low Woodland","Eulamprus tympanum","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"664",-35.5304000344929,149.111,200,"Australian Capital Territory","","Non Forest","Ctenotus robustus","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"665",-35.5302000344927,148.787,500,"Australian Capital Territory","","Eucalypt Low Woodland","Eulamprus kosciuskoi","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","ACT Wildlife Atlas"
"666",-35.52993,148.93211,5,"Australian Capital Territory","Under rock","Eucalypt Medium Open","Pseudemoia spenceri","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"667",-35.52993,148.93211,5,"Australian Capital Territory","Under rock","Eucalypt Medium Open","Pseudemoia spenceri","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"668",-35.52989,148.9321,5,"Australian Capital Territory","Under log","Eucalypt Medium Open","Anepischetosia maccoyi","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"669",-35.52989,148.9321,5,"Australian Capital Territory","Under log","Eucalypt Medium Open","Anepischetosia maccoyi","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"670",-35.52986,148.77259,5,"Australian Capital Territory","Under rock","Eucalypt Medium Woodland","Carinascincus coventryi","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"671",-35.52986,148.77259,5,"Australian Capital Territory","Running on rocks","Eucalypt Medium Woodland","Carinascincus coventryi","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"672",-35.52986,148.77259,5,"Australian Capital Territory","Under rock","Eucalypt Medium Woodland","Pseudemoia rawlinsoni","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"673",-35.52986,148.77259,5,"Australian Capital Territory","Under rock","Eucalypt Medium Woodland","Pseudemoia rawlinsoni","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"674",-35.52986,148.77259,5,"Australian Capital Territory","Under rock","Eucalypt Medium Woodland","Pseudemoia entrecasteauxii","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"675",-35.52986,148.77259,5,"Australian Capital Territory","Under rock","Eucalypt Medium Woodland","Carinascincus coventryi","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"676",-35.52986,148.77259,5,"Australian Capital Territory","Running on rocks","Eucalypt Medium Woodland","Carinascincus coventryi","MATERIAL_SAMPLE","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"677",-35.52986,148.77259,5,"Australian Capital Territory","Under rock","Eucalypt Medium Woodland","Pseudemoia entrecasteauxii","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Scincidae","species","Australian National Wildlife Collection provider for OZCAM"
"678",-35.5294000344916,149.066,200,"Australian Capital Territory","","Non Forest","Pseudechis porphyriacus","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","ACT Wildlife Atlas"
"679",-35.5291,148.772,5000,"Australian Capital Territory","","Eucalypt Medium Woodland","Austrelaps superbus","PRESERVED_SPECIMEN","Animalia","Chordata","Reptilia","Squamata","Elapidae","species","Australian National Wildlife Collection provider for OZCAM"
"680",-35.5284000344904,148.779,100,"Australian Capital Territory","","Eucalypt Medium Open","Tympanocryptis","UNKNOWN","Animalia","Chordata","Reptilia","Squamata","Agamidae","genus","ACT Wildlife Atlas"
